letter,count,uppercase_count,percentage
N,119,119,2.47
e,506,19,10.48
w,125,17,2.59
s,229,21,4.74
A,46,46,0.95
n,209,119,4.33
t,370,16,7.67
a,421,46,8.72
r,315,0,6.53
c,190,4,3.94
i,230,34,4.76
m,58,1,1.2
d,181,19,3.75
b,57,76,1.18
l,149,27,3.09
o,297,16,6.15
g,45,19,0.93
x,2,0,0.04
p,78,66,1.62
P,66,66,1.37
v,47,0,0.97
S,21,21,0.44
y,176,42,3.65
u,165,0,3.42
h,195,50,4.04
f,108,0,2.24
C,4,4,0.08
H,50,50,1.04
B,76,76,1.57
W,17,17,0.35
j,1,15,0.02
M,1,1,0.02
Y,42,42,0.87
I,34,34,0.7
T,16,16,0.33
k,66,0,1.37
O,16,16,0.33
L,27,27,0.56
G,19,19,0.39
D,19,19,0.39
E,19,19,0.39
J,15,15,0.31
